,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,buildzoom_rating,buildzoom_review_count,fixr_rating,fixr_review_count,website_name,homeadvisor_rating,homeadvisor_review_count,angieslist_rating,angieslist_review_count,facebook_rating,facebook_review_count,com_rating,com_review_count,birdeye_rating,birdeye_review_count,checkbook_rating,checkbook_review_count,houzz_rating,houzz_review_count,giftly_rating,giftly_review_count
36,Madriz Tree Service,Richmond,+15106859076,5.0,20,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0
37,City Trees,San Francisco,+14156268535,4.5,20,4.0,1.0,0.0,0.0,0.0,0.0,http://www.sfcitytrees.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Ramces Tree Services,Oakland,+15107797865,4.5,17,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Sizemore Services,Oakland,+15102775703,4.0,17,5.0,1.0,0.0,0.0,0.0,0.0,http://sizemoreservices.com/,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
40,The Forestree Company,Berkeley,+15105268733,4.5,17,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,4.5,61.0,0.0,0.0,0.0,0.0
41,US Landscape design And Restorations,San Francisco,+14153263778,4.0,16,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Garcia Gardening Services,Oakland,+14158555468,4.0,14,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,4.8,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Steve Svienty Tree Care,Mill Valley,+14153284894,4.0,14,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,15.0
44,Labat's Tree Care,Martinez,+19252857741,3.0,14,3.0,4.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,4.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Martin Arnest - Certified Arborist,Oakland,+14156132686,5.0,13,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,4.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Gonzalez Tree Service,Richmond,+15102559175,4.5,12,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Oscar Moreno Tree Service,Hayward,+15105869148,4.5,12,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,EliteyardsLandscaping,Castro Valley,+17147851359,2.0,12,3.7,6.0,0.0,0.0,0.0,0.0,http://eliteyards35.wixsite.com/landscaping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
