,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,homeadvisor_rating,homeadvisor_review_count,angieslist_rating,angieslist_review_count,glassdoor_rating,glassdoor_review_count,website_name,checkbook_rating,checkbook_review_count,birdeye_rating,birdeye_review_count,com_rating,com_review_count,giftly_rating,giftly_review_count,lehighvalleylive_rating,lehighvalleylive_review_count
10,Melady Landscaping,Philadelphia,+12672499123,3.5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Ralph's Tree Service,Cherry Hill,+16094107224,5.0,7,5.0,22.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,https://ralphstreecompany.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Ward John B & Co Tree Experts,Bryn Mawr,+16102650605,5.0,7,5.0,1.0,0.0,0.0,0.0,0.0,4.9,82.0,0.0,0.0,http://johnbward.com/about-us,5.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,McCreesh Tree Service,Huntingdon Valley,+12154440450,4.5,7,5.0,9.0,0.0,0.0,0.0,0.0,4.8,104.0,0.0,0.0,http://www.mccreeshtreeremoval.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Pell Tree Company,Norristown,+16106500545,4.0,6,5.0,12.0,4.6,7.0,0.0,0.0,5.0,344.0,0.0,0.0,https://pelltree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Corner Landscaping & Tree Service,Philadelphia,+12157427576,2.5,5,4.0,12.0,0.0,0.0,0.0,0.0,3.7,22.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0
16,The Davey Tree Expert Company,Horsham,+12155914180,3.5,5,4.1,14.0,0.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,https://www.davey.com/local-offices/north-philadelphia-tree-service/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tree Authority,Perkasie,+12156949607,5.0,3,5.0,19.0,4.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,http://treeauthority.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Tree Tech,Philadelphia,,3.5,3,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://treetechphila.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Blade By Blade,Pitman,+18562708689,3.5,3,4.7,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.bladebyblade.com/,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,0.0,0.0
20,Four Brothers Tree,Bensalem,+12154878739,3.5,3,4.8,44.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.fourbrothersofpa.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Becker's Tree Service,Levittown,+12159431016,2.5,3,0.0,0.0,3.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Jake's Landscaping,Holmes,+16109089252,5.0,2,4.6,29.0,4.8,48.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.jakeslandscapingco.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Colonial Tree Service,Southampton,+12156438780,3.0,2,0.0,0.0,4.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
