,name,city,phone,yelp_rating,yelp_review_count,homeadvisor_rating,homeadvisor_review_count,angieslist_rating,angieslist_review_count,facebook_rating,facebook_review_count,website_name,google_rating,google_review_count,checkbook_rating,checkbook_review_count,com_rating,com_review_count,giftly_rating,giftly_review_count,birdeye_rating,birdeye_review_count,thumbtack_rating,thumbtack_review_count,houzz_rating,houzz_review_count
14,Branches Tree Experts,Kensington,+13015896181,3.5,12,0.0,0.0,0.0,0.0,0.0,0.0,https://www.branchestreeexperts.com/,5.0,1.0,3.5,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Northern Virginia Tree Experts,Chantilly,+17032633199,3.5,12,0.0,0.0,5.0,69.0,5.0,1.0,http://www.northernvirginiatreeexperts.com/,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Wheat's Landscape,Vienna,+17036414790,1.5,12,0.0,0.0,3.9,71.0,4.8,9.0,https://www.wheats.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB%20Listing,4.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,The Care of Trees,Gaithersburg,+13018801224,2.5,9,0.0,0.0,5.0,71.0,0.0,0.0,http://www.davey.com/local-offices/washington-dc-tree-service/,5.0,3.0,3.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Takoma Tree Experts,Hyattsville,+13016815800,5.0,9,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Ed's Tree Service,Beltsville,+13019376269,4.0,8,0.0,0.0,4.8,276.0,5.0,1.0,http://www.edstreeservice.com/,4.7,12.0,3.5,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Arborist Pro,Centreville,+15713152325,4.5,8,0.0,0.0,4.0,5.0,0.0,0.0,http://www.arboristpro.com/,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,2.0
21,Milton's Tree Care Services,Upper Marlboro,+13016758147,5.0,7,4.9,274.0,5.0,48.0,0.0,0.0,http://miltonstreecareservice.com/,5.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,RulyScapes,Centreville,+17032668179,4.0,7,0.0,0.0,4.0,73.0,5.0,14.0,http://www.rulyscapes.com/,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,37.0,0.0,0.0
23,SavATree Tree Service & Lawn Care,Sterling,+17037090007,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,http://www.savatree.com/sterling-tree-service.html,4.1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,20.0,0.0,0.0,0.0,0.0
24,GreenSweep LLC,Burtonsville,+13015881616,4.0,7,0.0,0.0,0.0,0.0,4.3,9.0,http://www.greensweepllc.com/,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,American Landscaping,Silver Spring,+13013844486,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,http://americanlandscapinginc.net/,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Sosa Tree Service,Woodbridge,+15712055760,5.0,5,0.0,0.0,4.8,31.0,0.0,0.0,https://sosa-tree-services.business.site/#gallery,4.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0
27,Oasis Urban Gardening,Silver Spring,+12408551416,5.0,5,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,The Georgetown Landscaping Company,"Washington, DC",+12026562007,4.5,4,0.0,0.0,0.0,0.0,5.0,2.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Hernandez Company,Rockville,+13017069091,3.0,4,0.0,0.0,5.0,8.0,0.0,0.0,http://www.hernandezlandscapingllc.com/,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,68.0,0.0,0.0
30,Sean's Lawn Solutions,Cheltenham,+12024922769,5.0,4,0.0,0.0,0.0,0.0,5.0,1.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Andersen Tree Experts,Mechanicsville,+13013281422,3.5,3,0.0,0.0,0.0,0.0,0.0,0.0,https://www.andersentree.com/,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Jewel Landscaping & Tree Service,"Washington, DC",+12023861640,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Caliber Tree Services,Gambrills,+12028453790,5.0,2,4.8,184.0,5.0,19.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,American Arborists Tree Service,Silver Spring,+12403303559,1.0,2,0.0,0.0,1.0,1.0,5.0,1.0,http://americanarborists-usa.com/,3.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
