,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,angieslist_rating,angieslist_review_count,homeadvisor_rating,homeadvisor_review_count,website_name,facebook_rating,facebook_review_count,thumbtack_rating,thumbtack_review_count,birdeye_rating,birdeye_review_count,manta_rating,manta_review_count,com_rating,com_review_count,houzz_rating,houzz_review_count,giftly_rating,giftly_review_count
13,Falling Timbers Tree Service,Portland,+16154909419,5.0,4,4.7,23.0,0.0,0.0,0.0,0.0,http://www.fallingtimberstrees.com/,4.7,14.0,4.0,7.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Turf Managers,Nashville,+16152697706,2.5,4,4.6,16.0,2.0,33.0,0.0,0.0,https://www.turfmanagersllc.com/,4.6,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Turf Masters Lawn Care,Spring Hill,+18889248873,3.0,4,4.7,87.0,4.0,5.0,0.0,0.0,https://turfmasterslawncare.com/?utm_source=google&utm_medium=mybusiness&utm_campaign=nashville,4.6,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Druid Tree Service,Nashville,+16153734342,4.5,3,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Mow Nashville Tree Service,Nashville,+16159458010,4.5,3,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Tanksley Tree Service,Nashville,+16152699464,5.0,3,4.4,25.0,0.0,0.0,0.0,0.0,http://tanksleytreeservice.com/,4.8,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Smart Scapes,Nashville,+16153560139,3.5,3,4.8,32.0,5.0,4.0,0.0,0.0,http://www.landscapesnashville.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,1.0,0.0,0.0
20,Beaver Tree Trimming,Lavergne,+16153354174,4.5,3,5.0,4.0,0.0,0.0,5.0,6.0,http://www.beavertreetrimming.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Hutchison Tree Service,Antioch,+16159411176,3.5,3,4.2,5.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Downs Tree Service,Mt. Juliet,+16155863637,5.0,2,4.5,19.0,0.0,0.0,0.0,0.0,https://downs-tree-service.business.site/?utm_source=gmb&utm_medium=referral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,CUT Tree Service,Nashville,+16152608797,5.0,2,5.0,25.0,0.0,0.0,4.7,78.0,http://cutnashville.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,treeSAVVY Professional Arborist,Nashville,+16157718733,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
25,The Gentle Arborist,Nashville,+16158766904,1.5,2,3.9,7.0,0.0,0.0,0.0,0.0,http://thegentlearborist.com/,4.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Langford Tree Care,Hendersonville,+16157889596,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tree Doctors,Nashville,+16152402714,3.0,2,4.5,28.0,0.0,0.0,0.0,0.0,https://treedoctorstn.com/,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,TN Tree Preservation,College Grove,+16155864742,5.0,2,5.0,28.0,0.0,0.0,0.0,0.0,http://tntreepreservation.com/,0.0,0.0,4.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
29,Darren Bishop Landscape-Design,Nashville,+16159454224,2.5,2,3.7,3.0,0.0,0.0,0.0,0.0,http://www.dblandscapedesign.com/,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,8.0,0.0,0.0
