,name,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,com_rating,com_review_count,website_name,homeadvisor_rating,homeadvisor_review_count,rateabiz_rating,rateabiz_review_count,guildquality_rating,guildquality_review_count,glassdoor_rating,glassdoor_review_count,birdeye_rating,birdeye_review_count,bestpickreports_rating,bestpickreports_review_count,thumbtack_rating,thumbtack_review_count,indeed_rating,indeed_review_count,arborcompany_rating,arborcompany_review_count,manta_rating,manta_review_count,customerlobby_rating,customerlobby_review_count,networx_rating,networx_review_count,thinkgreenlawnservice_rating,thinkgreenlawnservice_review_count
24,Perez Tree Service,+14049254346,2.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Atlanta Tree Arbors, Inc.",+17702564599,4.5,11,5.0,8.0,0.0,0.0,4.7,118.0,0.0,0.0,http://www.atlantatreearbors.com/,4.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
26,Armstrong Tree Service,+16786870281,3.5,11,4.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,https://armstrongtrees.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"72 Tree, Seed & Land Co.",+16782235495,4.5,11,4.9,318.0,5.0,4.0,0.0,0.0,0.0,0.0,http://www.72tree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,North American Tree Service,+17705549406,4.0,11,4.9,69.0,4.8,7.0,4.7,133.0,0.0,0.0,https://www.northamericantree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,GrassRoots Tree & Turf Care,+17709178200,4.5,11,4.6,91.0,4.8,38.0,3.2,25.0,4.6,779.0,https://www.grassrootsturf.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Atlanta Tree Professionals,+14046448733,4.5,10,4.5,8.0,4.3,20.0,0.0,0.0,0.0,0.0,https://atlantatreeprofessionals.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Atlanta Area Tree Service,+14049148367,4.0,10,4.7,29.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.atlanta-area-tree-service.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Angry Beaver Tree Service,+16783613517,2.0,10,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,SERVSQUAD,+14048038733,3.5,9,0.0,0.0,4.8,37.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Exceed Tree Care,+14045872214,5.0,9,5.0,64.0,5.0,4.0,0.0,0.0,0.0,0.0,http://exceedtreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,KnowTrees Professional Tree Service,+16787601656,5.0,9,0.0,0.0,5.0,42.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,North Star Tree Service,+16785621068,3.0,8,4.7,65.0,4.9,23.0,0.0,0.0,5.0,1.0,https://northstartreeservice.com/,4.9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Landscape 4 Life,+16789343325,3.5,7,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.instagram.com/landscape_4ourlife/?hl=en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0
38,The Stump Man,+16782235201,5.0,7,3.9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.stumpman.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Acorn Tree Care,+17707540806,5.0,7,4.8,57.0,3.2,4.0,5.0,55.0,0.0,0.0,https://www.acorntreecare.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-cumming&utm_content=website,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Bark Buster Tree Service,+17702861263,3.0,7,3.1,7.0,4.6,17.0,0.0,0.0,0.0,0.0,http://www.barkbustertreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Trees of Georgia,+17708824955,2.0,7,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Lawn Doctor,+17708889838,2.0,7,3.3,23.0,3.9,5.0,0.0,0.0,0.0,0.0,http://www.lawndoctor.com/dunwoody-ga/?utm_source=gmb&utm_medium=organic&utm_campaign=Qiigo,4.6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Leo's Landscape and Tree Service,+14043196375,3.5,6,4.3,29.0,4.2,5.0,0.0,0.0,0.0,0.0,http://leos-landscape-tree-service.business.site/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Georgia Outdoor Services,+17703185413,5.0,6,5.0,7.0,5.0,1.0,4.7,105.0,0.0,0.0,http://www.georgiaoutdoorservices.com/,4.7,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Yellow Ribbon Tree Experts,+17705128733,5.0,6,3.6,8.0,5.0,6.0,5.0,103.0,0.0,0.0,https://yellowribbontree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Mandella's Tree Service,+16785172724,5.0,6,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Atlanta Wood Products & Services,+17705582173,2.5,6,2.3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Think Green Lawn Service,+16786482556,3.0,6,4.6,203.0,0.0,0.0,4.0,12.0,0.0,0.0,https://www.thinkgreenlawnservice.com/,4.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,187.0
