,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,angieslist_rating,angieslist_review_count,com_rating,com_review_count,facebook_rating,facebook_review_count,website_name,homeadvisor_rating,homeadvisor_review_count,birdeye_rating,birdeye_review_count,customerlobby_rating,customerlobby_review_count,giftrocket_rating,giftrocket_review_count,holysmoke_rating,holysmoke_review_count,giftly_rating,giftly_review_count,manta_rating,manta_review_count,indeed_rating,indeed_review_count
28,Ted's Trees,Austin,+15129288733,3.0,38,2.8,21.0,4.3,35.0,0.0,0.0,4.4,6.0,http://www.tedstrees.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Austin Tree Surgeons,Austin,+15123014400,4.5,37,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,not claimed on google,0.0,0.0,5.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Isaias Gonzalez Landscaping,Austin,+15125710293,5.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Longhorn Lawns,Austin,+15123947152,4.0,36,3.6,12.0,0.0,0.0,0.0,0.0,4.5,13.0,http://www.longhornlawnsaustin.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,PRV Tree Service,Round Rock,+15125160188,4.0,36,3.6,24.0,5.0,6.0,0.0,0.0,0.0,0.0,http://www.prvtreeservice.com/,4.7,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Capitol Tree Care,Austin,+15129136833,5.0,33,4.6,13.0,5.0,12.0,0.0,0.0,5.0,11.0,https://www.arboristaustin.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Austin Tree Patrol Services,Austin,+15122946940,5.0,33,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,The Tree Tender,Austin,+15124106926,5.0,32,5.0,47.0,5.0,20.0,0.0,0.0,4.9,14.0,http://www.thetreetender.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Austin Tree Service,Austin,+15123418888,4.5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Sunlight Tree Service,Austin,+15125523789,4.5,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Adam's Apple Tree Service,Austin,+15129128733,4.5,29,4.4,11.0,5.0,37.0,0.0,0.0,0.0,0.0,http://www.adamsappletreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Big G Tree Experts,Austin,+15125545291,5.0,27,4.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,4.6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,KG Lawn Care,Round Rock,+15129709250,5.0,26,4.6,8.0,0.0,0.0,0.0,0.0,5.0,1.0,http://www.kglawns.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Arbor Oaks Tree Professionals,Georgetown,+15122406047,4.5,26,4.9,61.0,5.0,8.0,4.5,142.0,4.5,11.0,http://arboroakstreepros.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Beny's Tree Service,Austin,+15127172614,5.0,25,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,https://benystreeserviceatx.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Catheys Austin Tree Service,Cedar Park,+15125736187,5.0,25,4.6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,http://catheystreeservice.com/,0.0,0.0,4.6,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Vista Tree Service,Austin,+15129037373,5.0,24,5.0,143.0,5.0,21.0,0.0,0.0,5.0,6.0,http://vistatreeservice.com/,0.0,0.0,5.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Best Tree Care,Austin,+15124018733,3.5,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,ABC Lawn,Pflugerville,+15128155296,2.5,24,2.8,20.0,0.0,0.0,4.5,2.0,0.0,0.0,http://www.abclawn.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Green Tree Professional,Austin,+15129994067,4.0,23,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Catheys Lawn Care,Austin,+15125736187,4.5,22,4.4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,http://catheyslawncare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
