,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,birdeye_rating,birdeye_review_count,website_name,angieslist_rating,angieslist_review_count,homeadvisor_rating,homeadvisor_review_count,facebook_rating,facebook_review_count,com_rating,com_review_count,topratedlocal_rating,topratedlocal_review_count,manta_rating,manta_review_count,thumbtack_rating,thumbtack_review_count,indeed_rating,indeed_review_count
18,Schneider Tree Care,Charlotte,+17045677755,1.0,3,4.3,29.0,0.0,0.0,http://www.schneidertree.com/,4.3,23.0,0.0,0.0,4.3,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
19,Absolute Tree Experts,Charlotte,+17047378771,3.5,3,4.6,21.0,0.0,0.0,http://www.absolutetreeexpert.com/,5.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Charlotte Stump Grinding,Waxhaw,+17044004714,5.0,3,5.0,21.0,5.0,21.0,http://www.charlottestumpgrinding.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Piedmont Tree Experts,Charlotte,+17045635817,5.0,2,4.8,24.0,0.0,0.0,http://www.piedmonttreeexperts.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Monster Tree Service of North Charlotte Metro,Cornelius,+17049816845,5.0,2,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Amada Tree Service,Charlotte,+17045266793,5.0,2,5.0,18.0,0.0,0.0,http://www.amadatreeservice.com/,5.0,6.0,4.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,98.0,0.0,0.0
24,Cadieu Tree Experts,Charlotte,+17043335743,4.0,2,4.3,9.0,0.0,0.0,http://www.cadieutree.com/,4.5,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Treescape, Inc.",Gastonia,+17048674100,5.0,2,0.0,0.0,0.0,0.0,not claimed on google,5.0,45.0,0.0,0.0,4.7,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Welch Landscape Solutions,Charlotte,+19109953898,5.0,2,5.0,10.0,0.0,0.0,https://welch-landscape-solutions-llc.business.site/,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Hensley's Tree Service,Charlotte,+17047873549,1.0,2,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,5.0,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Garcias Tree Experts,Charlotte,+17048267010,3.5,2,5.0,1.0,0.0,0.0,http://garciastreeservenc.com/index.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,D&R Landscaping and Tree Service,Charlotte,+17046050616,1.0,1,5.0,1.0,0.0,0.0,http://www.manta.com/c/mttk0y8/d-r-landscaping-and-tree-service-inc,5.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,The Art of Pruning,Charlotte,+17046988234,5.0,2,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Charlotte Landscaping Service,Charlotte,+18664001564,2.5,2,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Fairway Green,Charlotte,+17043920811,3.0,2,0.0,0.0,0.0,0.0,not claimed on google,4.3,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Mike’s Tree,Denver,+17048405274,5.0,2,5.0,3.0,0.0,0.0,not claimed on google,0.0,0.0,4.8,41.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Cutters Lawn Care,Waxhaw,+17046091435,3.0,2,5.0,2.0,0.0,0.0,https://pr.business/cutters-lawn-care-inc-waxhaw-north-carolina,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Tailor Made Lawns,Conover,+18284654070,5.0,2,4.8,338.0,4.8,430.0,https://www.tailormadelawns.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-conover,4.5,97.0,0.0,0.0,4.7,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Frady Tree Care,Salisbury,+13362361006,3.5,2,4.4,5.0,4.6,12.0,https://www.fradytreecare.com/,4.6,207.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
