,name,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,angieslist_rating,angieslist_review_count,com_rating,com_review_count,facebook_rating,facebook_review_count,website_name,thumbtack_rating,thumbtack_review_count,houzz_rating,houzz_review_count,homeadvisor_rating,homeadvisor_review_count,birdeye_rating,birdeye_review_count,networx_rating,networx_review_count,lawndoctor_rating,lawndoctor_review_count
32,Arboretum Tree Services,+12104143369,5.0,3,4.4,13.0,5.0,177.0,0.0,0.0,5.0,1.0,http://www.arboretumtreeservices.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,ZoneScapes,+12103435353,3.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,4.6,26.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Semper Fi Residential & Commercial Services,+18303126131,5.0,3,4.8,47.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.semper5services.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Lawn Doctor,+12106511698,3.5,3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0
36,Landscape Commander,+18307307015,3.5,3,5.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,http://www.landscapecommanderllc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Halls Home & Horticulture,+12107693121,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Ragnar Handcrafted Furniture and Sawmill,+12107727955,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Save N' Cut,+12546970028,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,I P S Tree Service,+12104302261,3.0,2,4.0,5.0,0.0,0.0,4.5,2.0,0.0,0.0,https://www.ipstreeservicetx.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,J & A Tree Service,+12106774147,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Gonzalez Services,+12108845091,4.5,2,0.0,0.0,5.0,1.0,0.0,0.0,5.0,19.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,UMOW Lawn Care Service,+15129031978,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
