,name,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,website_name,homeadvisor_rating,homeadvisor_review_count,giftly_rating,giftly_review_count,birdeye_rating,birdeye_review_count,thumbtack_rating,thumbtack_review_count,checkbook_rating,checkbook_review_count,topratedlocal_rating,topratedlocal_review_count,glassdoor_rating,glassdoor_review_count,rateabiz_rating,rateabiz_review_count,com_rating,com_review_count,yourgreenpal_rating,yourgreenpal_review_count,houzz_rating,houzz_review_count,manta_rating,manta_review_count,customerlobby_rating,customerlobby_review_count,bestpickreports_rating,bestpickreports_review_count,justdial_rating,justdial_review_count
30,Chicago Tree Service Professionals,+17738651225,5.0,10,5.0,8.0,0.0,0.0,0.0,0.0,http://treeserviceprofessionals.us/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Final Oaks Tree Service,+18473453535,4.5,10,5.0,1.0,0.0,0.0,0.0,0.0,https://finaloaks.business.site/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Barr Tree Care,+18155218055,4.5,10,5.0,4.0,0.0,0.0,5.0,9.0,http://www.barrtreecare.com/,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Family Landscaping & Treewerks,+16308768733,4.0,10,4.1,9.0,0.0,0.0,0.0,0.0,http://www.arborwerks.com/,0.0,0.0,0.0,0.0,4.1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Sunrise Tree Care,+18472568733,4.0,10,4.2,10.0,5.0,4.0,5.0,94.0,http://www.sunrisetreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0
35,Monster Tree Service of the North Shore,+18475581803,5.0,9,4.9,61.0,0.0,0.0,5.0,22.0,https://www.whymonster.com/north-shore/?utm_source=GMB&utm_medium=organic&utm_campaign=Northbrook,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Winkler's Tree & Landscaping,+17085441219,3.0,9,0.0,0.0,5.0,1.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,149.0,0.0,0.0
37,Mdl Tree Service,+16306279186,4.5,9,4.4,21.0,0.0,0.0,0.0,0.0,http://mdl-tree-service-inc.business.site/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Birchwood Services,+18472531961,4.5,8,4.0,15.0,5.0,3.0,0.0,0.0,https://www.birchwoodservicesil.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,MT Lawncare Services,+17736771815,3.0,8,0.0,0.0,5.0,1.0,5.0,17.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Alejandres Tree Service,+18479702113,4.5,8,5.0,22.0,4.9,11.0,0.0,0.0,http://www.alejandrestreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,J.D. Enterprises,+18474939762,3.5,8,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.0
42,Bartlett Tree Experts,+17735297313,4.5,7,3.8,4.0,0.0,0.0,5.0,15.0,https://www.bartlett.com/locations/Chicago-IL.cfm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,AAA Tree Surgeon,+18474651503,4.5,7,4.7,10.0,4.8,16.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,The Davey Tree Expert Company,+16302939336,1.5,7,3.9,15.0,0.0,0.0,4.7,234.0,https://www.davey.com/local-offices/west-chicago-tree-service/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Cut Above Landscaping,+16304351080,3.0,7,3.9,8.0,4.5,10.0,1.0,30.0,http://www.cutaboveland.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,McKay Tree Service,+17734787888,4.0,6,5.0,1.0,0.0,0.0,4.8,67.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,The Davey Tree Expert Company,+18477827170,3.0,6,5.0,8.0,0.0,0.0,5.0,108.0,https://www.davey.com/local-offices/north-chicago-tree-service/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
