,name,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,website_name,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,homeadvisor_rating,homeadvisor_review_count,glassdoor_rating,glassdoor_review_count,thumbtack_rating,thumbtack_review_count,com_rating,com_review_count,birdeye_rating,birdeye_review_count,indeed_rating,indeed_review_count,rateabiz_rating,rateabiz_review_count,houzz_rating,houzz_review_count
15,Gonzalez Tree & Palm Tree Trimming Service,+16026210455,4.5,41,4.1,19.0,not claimed on google,0.0,0.0,4.8,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lucas Lawn and Yard Care,+16029231312,3.5,39,3.9,40.0,http://lucaslawnandyard.com/,3.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,The Green Goat,+16029719792,4.0,39,5.0,1.0,http://www.greengoataz.com/,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Mike Macchiaroli Tree Company,+16025092773,4.5,38,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,SVH Landscaping Services,+16023991625,4.5,38,5.0,5.0,not claimed on google,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Roy's Trees,+16028812775,4.5,37,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Sun of the Valley Landscaping,+16232060703,4.5,37,3.0,1.0,http://sunofthevalleylandscaping.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Sergios Lawn Services,+16025525400,3.0,37,3.9,16.0,https://sergioslawnservicellc.com/,4.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0
23,Tree Trimming,+14809456180,5.0,32,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,BV Lawn Care,+14804151085,4.5,31,4.7,23.0,http://www.bvlawncare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Phoenix Landscaping & Pools,+16026967675,4.5,29,4.4,19.0,http://www.phoenixlandscapingandpools.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Veteran Family Tree Service,+16027502771,5.0,27,4.9,16.0,https://www.familytreeservicephx.com/,5.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Urgent Care Tree & Lawn,+14802417116,5.0,27,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Pro Outdoor Services,+14803767754,4.5,27,4.9,145.0,http://www.prooutdoorservices.com/,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,7.0
29,MasterAZscapes,+16237800474,3.0,27,4.4,77.0,http://www.landscaper-phoenix.com/,0.0,0.0,4.3,354.0,4.3,92.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,ArborCraft Tree Service,+14809990575,5.0,26,5.0,84.0,http://arborcraftaz.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Bassett Tree Service,+14808489278,4.5,22,5.0,14.0,http://treeservice-mesa.com/,5.0,2.0,0.0,0.0,4.8,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,House of Yards,+18189273458,3.5,22,4.9,39.0,https://www.houseofyards.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Sergio's Landscaping & Lawn Service,+16024109627,4.5,21,0.0,0.0,not claimed on google,4.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Twilight Tree & Landscape Service,+16234280028,5.0,20,4.9,31.0,https://twilighttreeandlandscape.com/,5.0,2.0,0.0,0.0,5.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NULAWN Landscape Remodel and Design,+14807474505,4.5,20,0.0,0.0,not claimed on google,0.0,0.0,4.9,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,ABC Landscaping LLC,+14804300140,4.0,20,5.0,4.0,http://abclandscapingllc.com/,0.0,0.0,0.0,0.0,4.4,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Branch Management Tree Service,+14809701315,3.5,18,4.3,23.0,https://www.aztreedoctor.com/,4.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Rockwell Landscape Maintenance,+16026904648,5.0,15,0.0,0.0,not claimed on google,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,All Valley Landscaping,+16029388100,2.5,15,1.0,3.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Echo Mountain Landscaping,+16027300570,5.0,12,5.0,1.0,https://echo-mountain-landscaping-llc.business.site/?utm_source=gmb&utm_medium=referral,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Ryan's Removals,+16024516120,4.5,12,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Desert Outdoor Landscaping + Remodeling,+16027830569,4.0,12,5.0,12.0,not claimed on google,3.7,3.0,0.0,0.0,4.4,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,All American Arborist,+16234768044,5.0,12,4.7,3.0,http://phoenixarborists.com/,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Urban Forest Tree Care,+16028087781,3.5,12,4.5,2.0,not claimed on google,0.0,0.0,4.6,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Bartlett Tree Experts,+14808203939,4.5,11,0.0,0.0,not claimed on google,0.0,0.0,4.2,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Radley's Tree Service,+16024811100,5.0,11,0.0,0.0,not claimed on google,4.7,8.0,0.0,0.0,5.0,12.0,0.0,0.0,4.9,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Integrity Tree Service,+16027880005,4.0,11,0.0,0.0,not claimed on google,0.0,0.0,5.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Badger Tree Service,+16029443431,4.0,11,4.0,4.0,https://www.badgertreeserviceaz.net/,5.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
