,name,phone,yelp_rating,yelp_review_count,trustlink_rating,trustlink_review_count,website_name,google_rating,google_review_count,homeadvisor_rating,homeadvisor_review_count,angieslist_rating,angieslist_review_count,buildzoom_rating,buildzoom_review_count,fixr_rating,fixr_review_count,facebook_rating,facebook_review_count,checkbook_rating,checkbook_review_count,thumbtack_rating,thumbtack_review_count,demandforce_rating,demandforce_review_count,glassdoor_rating,glassdoor_review_count,giftly_rating,giftly_review_count,com_rating,com_review_count
10,Bay Area Tree Specialists,+14088369147,4.0,87,0.0,0.0,https://bayareatreespecialists.com/,4.7,23.0,4.5,337.0,5.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Tom 4 Stumps Removal & Grinding,+14088071500,5.0,87,0.0,0.0,https://tom4stumps.com/,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Dsoto,+16507220908,4.5,84,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Aly's Tree Trimming & Yard,+14082806545,4.0,80,0.0,0.0,not claimed on google,4.3,18.0,5.0,4.0,4.8,339.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,West Valley Tree Care,+14083900316,5.0,80,0.0,0.0,http://www.westvalleytreecarebayarea.com/,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,One Two Tree Care,+18777208733,5.0,73,0.0,0.0,not claimed on google,0.0,0.0,4.8,46.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Summit Tree Service,+14082108088,4.5,72,0.0,0.0,http://www.summittreeservice.net/,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Bellizzi Tree Service,+14086267048,4.5,63,0.0,0.0,http://www.bellizzitreeservice.com/,4.6,12.0,0.0,0.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Bartlett Tree Experts,+14083587888,4.0,55,0.0,0.0,https://www.bartlett.com/locations/San-Jose-CA.cfm,4.6,9.0,0.0,0.0,5.0,105.0,0.0,0.0,0.0,0.0,5.0,2.0,3.5,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,California Tree Solutions,+14089105143,5.0,49,0.0,0.0,not claimed on google,0.0,0.0,4.7,77.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Trees & Stumps,+14086793500,5.0,49,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,San Jose Tree Service,+14084221313,5.0,47,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Boyd's Tree Service,+14083715040,4.5,46,0.0,0.0,https://www.boydstreeservice.com/,5.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Olivares Tree Service,+16505204310,5.0,46,0.0,0.0,not claimed on google,5.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Rivera Tree Service,+18317681696,4.5,45,0.0,0.0,not claimed on google,4.4,5.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,A-1 Tree Service,+14084486408,4.5,44,0.0,0.0,http://www.a-1treeservices.com/,4.0,6.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Koala Tree Care,+18312397023,4.5,40,0.0,0.0,http://www.koalatreeservices.com/,4.0,8.0,4.9,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Arborwell,+18889698733,4.0,36,0.0,0.0,http://www.arborwell.com/,4.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0
28,The Davey Tree Expert Company,+14084533389,3.5,35,0.0,0.0,https://www.davey.com/local-offices/south-bay-tree-service/,4.2,10.0,0.0,0.0,4.6,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Stump King,+18009580233,4.5,35,0.0,0.0,http://www.stumpking.com/,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Serrano's Expert Tree Service,+14082698756,4.5,34,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,General Tree Service,+14084895671,4.5,34,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Pmc Tree Service,+14084723427,3.5,31,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,JC Landscape & Gardening Service,+14086617525,4.5,30,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,30.0,0.0,0.0
34,Bartlett Tree Experts,+14152060790,3.5,30,0.0,0.0,https://www.bartlett.com/locations/San-Francisco-CA.cfm,3.2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Arborist View Tree Care,+16503802297,5.0,29,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,The Branch Manager,+14084485458,4.5,28,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
37,Landscape Associates of CA,+14082075545,4.5,26,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Anderson's Tree Care,+14082268733,4.5,26,0.0,0.0,http://andersonstreecare.com/,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Golden Tree Company,+14087080650,4.0,25,0.0,0.0,http://www.goldentreecompany.com/,5.0,1.0,4.8,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Maples For All Seasons,+19255963345,3.5,24,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Commercial Tree Care,+14089858733,4.5,23,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Jake's Tree Services,+16505203107,5.0,23,0.0,0.0,not claimed on google,0.0,0.0,4.9,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Bill's Tree Care & Landscape,+14084483956,3.5,22,0.0,0.0,http://www.billstreecare.org/,3.7,7.0,4.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,The Tree Specialist,+14082091007,4.5,20,0.0,0.0,not claimed on google,0.0,0.0,4.5,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Mother Earth Care,+14085855958,5.0,20,0.0,0.0,not claimed on google,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Miabella Expert Tree Service,+14085156682,5.0,19,0.0,0.0,not claimed on google,0.0,0.0,4.7,118.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"Luke's Tree Care, Inc",+14085804699,4.5,19,0.0,0.0,not claimed on google,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
