,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,website_name,urbanforestprofessionals_rating,urbanforestprofessionals_review_count,oregonlive_rating,oregonlive_review_count,angieslist_rating,angieslist_review_count,houzz_rating,houzz_review_count,homeadvisor_rating,homeadvisor_review_count,manta_rating,manta_review_count,birdeye_rating,birdeye_review_count,thumbtack_rating,thumbtack_review_count,com_rating,com_review_count,giftly_rating,giftly_review_count
14,Rich's Tree Service,Fairview,+15036789664,4.5,25,0.0,0.0,4.6,19.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Mr. Tree,Portland,+15036653917,4.0,25,4.4,88.0,0.0,0.0,http://www.mrtreeservices.com/,0.0,0.0,0.0,0.0,4.6,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Bartlett Tree Experts,Clackamas,+15037227267,5.0,24,4.6,21.0,4.6,7.0,https://www.bartlett.com/locations/Portland-OR.cfm,0.0,0.0,0.0,0.0,5.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Mossy Tree Care,Portland,+15039144103,5.0,23,5.0,9.0,0.0,0.0,http://www.mossytreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Inexpensive Tree Care,Scappooose,+15035044179,3.5,23,4.5,10.0,0.0,0.0,http://www.jandftreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Tree Masters,Portland,+15037714061,4.0,21,4.9,16.0,0.0,0.0,http://treemastertreeservice.com/,0.0,0.0,0.0,0.0,4.8,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Treekeeper Tree Service,Damascus,+15039986076,5.0,21,4.9,108.0,5.0,2.0,https://treekeepertreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Blue Sky Tree Care,Portland,+15035045878,5.0,20,0.0,0.0,5.0,5.0,not claimed on google,0.0,0.0,0.0,0.0,4.8,45.0,0.0,0.0,4.9,18.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Big Trees Today,Hillsboro,+15036403011,4.5,19,4.4,17.0,4.5,6.0,https://bigtreestoday.com/,0.0,0.0,0.0,0.0,4.7,39.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Arborpro Tree Experts,Lake Oswego,+15034738733,4.0,19,4.8,39.0,4.6,5.0,https://www.arborpronw.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Anderson Landscape Maintenance,Milwaukie,+15036593172,4.0,18,4.7,72.0,0.0,0.0,http://www.andersonlandscapemain.com/,0.0,0.0,0.0,0.0,4.4,19.0,5.0,6.0,4.4,7.0,0.0,0.0,0.0,0.0,4.5,89.0,0.0,0.0,0.0,0.0
25,Ascent Tree and Yard Care,Portland,+15033098733,5.0,17,5.0,2.0,4.3,5.0,http://ascenttreeandyardcare.com/,0.0,0.0,0.0,0.0,4.7,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Ed Jenson's Tree Service,Damascus,+15039704840,4.5,16,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Oregon Tree Care,Portland,+15039299437,3.5,14,4.7,34.0,0.0,0.0,https://oregontreecare.com/,0.0,0.0,0.0,0.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"Tree Expert NW, LLC",Vancouver,+13606018146,4.5,14,4.8,19.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Green Planet Tree Care,Beaverton,+15035237773,4.5,14,5.0,47.0,0.0,0.0,http://greenplanettreecare.com/,0.0,0.0,5.0,1.0,4.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,3.0,5.0,1.0,0.0,0.0
30,R & H Tree Service,Gresham,+19712828168,5.0,13,4.7,23.0,5.0,7.0,https://rhtreeservice.com/,0.0,0.0,0.0,0.0,4.9,52.0,0.0,0.0,4.8,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Multnomah Tree Experts,Portland,+15034528160,3.5,12,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,GrassRoots Landscape Maintenance,West Linn,+15039013867,3.0,12,3.0,4.0,1.0,1.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Prestige Landscape & Tree Service,Portland,+15033337384,5.0,11,4.5,2.0,4.6,5.0,http://www.prestige-landscape.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,NW Tree Work,Portland,+15039950540,4.0,11,4.5,10.0,0.0,0.0,http://www.nwtreework.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.6,98.0,0.0,0.0,0.0,0.0
35,Tree Care Unlimited,West Linn,+15036576570,5.0,11,4.8,16.0,5.0,7.0,http://www.treecareunlimitedllc.com/,0.0,0.0,0.0,0.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"Treecology, Inc",Milwaukie,+15038047868,4.0,11,4.2,11.0,0.0,0.0,http://www.treecology.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Mountain View Tree Service,Portland,+15038301468,5.0,10,5.0,12.0,0.0,0.0,https://www.mtvtreeoregon.com/,0.0,0.0,0.0,0.0,5.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Beaver Tree Service Inc,Beaverton,+15032241338,5.0,10,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,4.9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Morton Tree and Landscape Maintenance,West Linn,+15036367902,4.5,10,4.2,12.0,0.0,0.0,http://www.mortontree.com/,0.0,0.0,0.0,0.0,4.7,89.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,13.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Arbor Now,Happy Valley,+15038758286,4.5,9,5.0,5.0,0.0,0.0,http://arbornowtrees.com/,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Noble Tree and Landcare,Portland,+15034103424,5.0,9,5.0,9.0,5.0,1.0,http://nobletreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Portland Stump Grinding,Portland,+15034221604,5.0,9,5.0,8.0,5.0,1.0,http://www.pdxstumpgrinding.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,137.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,15.0,0.0,0.0
43,TreeWise,Vancouver,+13606969610,5.0,9,5.0,9.0,5.0,10.0,http://www.treewisenw.com/,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Sense of Place Permaculture,Clackamas,+19713440810,5.0,8,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
45,Portland Tree Service,Portland,+15038966750,4.0,7,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Tillis Tree Care,Portland,+15033873035,3.5,7,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Aspen Tree Service,Portland,+15034774634,4.0,7,4.1,8.0,0.0,0.0,http://www.portlandtreeservice.biz/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Valley West Landscapes,Troutdale,+15036690606,3.5,7,4.6,20.0,4.9,9.0,http://www.valleywestlandscapes.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
