,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,website_name,houzz_rating,houzz_review_count,glassdoor_rating,glassdoor_review_count,giftly_rating,giftly_review_count,birdeye_rating,birdeye_review_count,homeadvisor_rating,homeadvisor_review_count,com_rating,com_review_count,thumbtack_rating,thumbtack_review_count,manta_rating,manta_review_count,yourgreenpal_rating,yourgreenpal_review_count,networx_rating,networx_review_count
16,Advanced Tree Services,Burleson,+18172014522,5.0,4,5.0,39.0,4.9,23.0,4.9,294.0,http://www.northtexastree.com/,0.0,0.0,0.0,0.0,0.0,0.0,5.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
17,Sosa Tree Service,Grand Prairie,+19723991060,5.0,4,4.3,18.0,0.0,0.0,4.8,111.0,http://sosa-tree-services.business.site/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Arbor Masters Tree Service,Grand Prairie,+14695865829,5.0,4,5.0,11.0,0.0,0.0,0.0,0.0,https://arbormasters.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,GreenCare Lawn and Landscape,Crowley,+18178887779,3.0,4,3.0,1.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Complete Tree Services,Corinth,+12145876833,3.5,4,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Hunt's Lawn Service,Benbrook,+18176587014,2.0,4,0.0,0.0,4.2,7.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,JL Tree Services,Irving,+12144504273,2.5,4,4.5,8.0,5.0,1.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,A Affordable Landscaping And Tree Service,Benbrook,+18007152713,2.5,3,5.0,5.0,0.0,0.0,0.0,0.0,https://www.timbertexas.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,149.0,0.0,0.0
24,Brown's Tree Service,Fort Worth,+18173716580,5.0,2,4.9,28.0,0.0,0.0,0.0,0.0,https://brownstreeservicetx.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0
25,Integrity Tree Care,Fort Worth,+18177141777,5.0,2,0.0,0.0,4.7,37.0,5.0,27.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Deadwood Stump Grinding,Weatherford,+18177714609,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Just In Time Tree Service,Hurst,+18172711507,3.0,2,3.8,22.0,0.0,0.0,0.0,0.0,https://just-in-time-tree-service.business.site/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Sosa Tree Service,Irving,+19723991060,5.0,2,4.3,18.0,0.0,0.0,4.8,111.0,http://sosa-tree-services.business.site/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Grasseaters Lawn Maintenance,Benbrook,+18172491070,1.0,2,4.1,15.0,0.0,0.0,0.0,0.0,https://grasseaters.com/,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
